Name,Latitude,Longitude,Location,Description,is_area,average_price,realted_keywords,Ratings
Buddha Stupa,27.72152078,85.36199838,Kathmandu,"Bouddha also known as Boudhanath, Khasti Chaitya is a stupa in Kathmandu, Nepal.[2] Located about 11 km (6.8 mi) from the center and northeastern outskirts of Kathmandu, its massive mandala makes it one of the largest spherical stupas in Nepal and the world.",FALSE,400,"Buddhist,Temple, Hinduism,Stupa,spritual,meditation",4.7
BUDDHA PARK,27.7223837,85.36148148,Kathmandu,Beartiful Park near Bouddha Stupa with water features. People come for worship and offer their prayers here.,FALSE,300,"Buddhist,Park,Garden,spritual",4.5
Kathmandu Durbar Square,27.70418848,85.30663642,Kathmandu,"Landmark, ancient royal complex with various palaces, temples & courtyards, plus a museum.",TRUE,1000,"Historical, Landmark, Royal,Durabar",4.5
Shree Kalbhairab Temple,27.70480822,85.30718192,Kathmandu,This richly detailed stone sculpture of the Hindu deity Kaal Bhairav dates from the 6th century.,FALSE,200,"Sclupture,Hindu,God,worsip,spritual",4.7
Taleju Bhawani Mandir,27.70492305,85.3080133,Kathmandu,"Landmark 1500s Hindu temple with ornate carvings & a tall pagoda, standing on a 12-step plinth.",FALSE,200,"Pagoda,Hindu,Temple,worship,Carvings",4.5
Jagannath Temple,27.70469905,85.30722606,Kathmandu,Hindu Temple,FALSE,200,"Hindu,temple,worshp,pigeons,spiritual,carvings",4.6
"Swet Bhairab 
",27.70450545,85.3069909,Kathmandu,"Hindu temple with a five-tiered pagoda constructed in 1701, dedicated to the goddess Siddhi Lakshmi.",FALSE,200,"Hindu,temple,worshp,pigeons,spiritual",4.6
Kasthamandap,27.70392,85.30589185,Kathmandu,"Former site of a temple, dating to the 7th century A.D., that gave Kathmandu its name.",FALSE,200,"Historical, Landmark, Temple,carvings",4.6
Hanuman Dhoka,27.70425906,85.30742036,Kathmandu,"Palace museum named after the entryway's stone Hanuman, with exhibits on the Shah Dynasty.",FALSE,1000,"Museum, Royal, Historical,Landmark",4.5
Kageshwor Mahadev Temple,27.70501162,85.30745396,Kathmandu,Hindu temple,FALSE,200,"Hindu, temple,worship, Shiva,Mahadev",4.4
Nau Talle Durbar,27.70393099,85.30749013,Kathmandu,Historical place museum,FALSE,1000,"Museum, Royal, Historical,Landmark",
Gaddi Baithak,27.70397247,85.30671039,Kathmandu,Histroical Landmark,FALSE,200,"Neoclasic,palace,Historical,Landmark",4.9
Makhan Tole,27.70546705,85.3088481,Kathmandu,Tourist Attraction,FALSE,500,"Toursitattraction,Path,Walk",4.4
Yetkha Tole,27.70602105,85.30619226,Kathmandu,Torusit Attraction,FALSE,500,"ToursitattractionPath,Walk",4
Patan Darbar Square,27.67270158,85.32498889,Lalitpur,Museum in a former royal palace housing Hindu & Buddhist sculptures & other cultural artifacts.,FALSE,1000,"Historical, Landmark, Royal,Durabar",4.6
Central Zoo,27.67266167,85.31114371,Lalitpur,"Opened in 1956, this 6-hectare zoo offers an aviary & elephant rides, plus a lake with paddle boats.",FALSE,500,"animals,zoo,wildlife,birds,wildlife",4
United Nations Park,27.68578344,85.32540436,Lalitpur,"United Nations Park, popularly known as the UN Park, is situated on the bank of Bagmati river in Jwagal, Lalitpur. This park is stretched from the Shankhamul Ghat to the Teku Dobhan in the area of 1,576 ropanis.",FALSE,100,"park,nature,social,refreshment,walk",3.9
Sankhamul Park,27.67930939,85.33124173,Lalitpur,"This park was built by the Non-Resident Nepali Association in the Shankhamul Ghat area at the bank of Bagmati River. There is a statue of a conch shell (Shankha) in the park. Along with this, there are lovely gardens and many benches to sit on and chitchat with friends or families.",FALSE,100,"park,nature,social,refreshment,walk",4
Bhaktapur Durbar Square,27.67206168,85.42810736,Bhaktapur,"Histroical Landmark,is a former royal palace complex located in Bhaktapur, Nepal. It housed the Malla kings of Nepal from 14th to 15th century and the kings of the Kingdom of Bhaktapur from 15th to late 18th century until the kingdom was conquered in 1769.",FALSE,1500,"Historical, Landmark, Temple,carvings,Toursitattraction",
